No,tweet,Sentimen
53,"@pixshii buat belajar 😭 saran ku kalo udh langganan les online lebih bagus bikin jadwal sendiri biar ngga lupaa, enaknya les online tuh bisa belajar materi yg belum dipelajarin di sekolah",1
56,@kakek_99 gue sekolah online aja ada razia kuku fren,1
58,Malah merasa lebih produktif sejak sekolah online. I can do other things sambil sekolah. https://t.co/0AH5Om8BPu,1
59,"@adit_wr @BTannadi @Felicia_Putri online ajalah, mana ada lagi yg beli saham ke BEI langsung kan

kalo orang ga sekolah emang isinya minta ketemuan mulu",1
67,"@collegemenfess Anak sd gapapa kali, masih bisa diawasi orang tua jadi gak keluyuran habis pulang sekolah. Mah kalau smp sma kuliah mending online aja deh. Abis sekolah ya hehahehe sama temen di cafe 😑",1
74,"@falla_adinda Sekolah anakku 4 hari dalam seminggu tatap muka bubek. Dalam kelompok kecil, 1 kelas dibagi 3 kelompok. Datang ga boleh terlalu awal, sesuaikan dg jadwal pembagian jam tatap muka. Materi via online jalan. PTS kemarin diawasi guru pake google meet, memanfaatkan kuota data bantuan.",1
75,"Aku seneng online class karena ga perlu nganter ke sekolah, ga perlu macet2an 😅
Toh anaknya juga hepi 

Ke mol juga belum pernah sejak pandemi. Padahal anak owe udah nangis2 mintak ke playground https://t.co/5o5Oy7JnxZ",1
78,@seokjinbros @schfess sekolah online perthatiin nder pas viconnya. biasanya kan ada jeda waktu beberapa menit sebelum pelajaran selanjutnya.. nah pake itu buat nyatet/rapihin catetan mapel yang tadi lagi dipelajarin. trs baru deh pulsek nya nugas,1
80,"@alstries Gua,tpi udh nyaman jg sm sekolah online",1
82,"@Ndrews110611 masnya guru di sekolah jkt kah?

soal dipermudah mungkin karena ada materi yg dipangkas akibat kurikulum esensial selama pandemi.

apakah kalo offline menjamin semua anak bakal rajin dan ga nyontek?

buka sekolah tuh harusnya karena udah siap, bukan karena online anak jd males",1
84,"@rosecalalily @Svastya @nuicemedia Iya saya punya bimbel jadi tau sikon2 sekolah. Cuma sedikit sekolah2 yg disiplin. Rata2 kondisinya yah sprti saya bilang. Yah mau gmana gk mencontek bu, gurunya saja gk bsa menjelaskan dengan baik. Kadang cuma kirim soal dan video 😅. Indo gk siap dengan kelas online",1
91,"heran yg setuju sekolah buka karena murid2 jadi males, suka nyontek dll kalo online. itu mah bocahnya aja. mau on/offline kalo bocahnya males ya bakal tetep males. di sekolahku malah ada anak males jadi rajin, grgr belajarnya sendiri (dulu di kelas ada godaan ngobrol sama temen). https://t.co/MAL1HlhL4M",1
93,"@munconvo Enak, apalagi sekolah online gini materi lebih gampang masuk lewat bimbel, terus temen-temennya juga kondusif, belajarnya kayak di sekolah sistemnya, bisa tambahan + chat guru diluar jam bimbel juga kalo butuh",1
112,Udah nyaman sekolah online,1
114,"@alrasG @Amirsiregar13 @MIrvanDarwin1 @amira_suud @ManoharaKamekk @rang_simabua @JumhanaTintin @syafniir @nenggusti @Fahrie_fahrial Mba...walaupun ngajar online guru tetap kirim tugas dan teap bertugas...kok malah lebih berat karena harus memeriksa secara virtual....bikin mata rusak mba....karena mantengin laptopp terus....dan anak anak yg sekolah tetep dapet nilaikan ????
Jadi ga usah bicara materi....yahhh",1
122,@filyamustika aku mau nanti mereka sekolah online aja di youtube sama udemy,1
136,"pagiii!! hari ini sekolah online seperti biasa lagii (setelah sebelumnya jamkos mulu karena kakel USBN)
semangatt yokk semangatt💜",1
145,"Bila lebih dari separoh responden ingin kembali adanya sekolah tatap muka, ya maklumi

Faktor nya banyak, mulai dari internal, yaitu sulit ngajari di rumah, dan g mampu menyediakan fasilitas belajar online, sampai eksternal, ya pilkada, mall, tempat wisata malah dibuka normal",1
152,"@ricisfrutarian @tanyainrl worth it banget kalo sekolah apalagi online sekarang kan tugasnya disuruh bikin vlog/video posting mulu, jadi hasilnya bagus+mood enak kalo bikin video, gercep",1
158,"Gurunya nolak pembelajaran tatap muka, ortu nolak pembelajaran online diperpanjang

Padahal tuh ya, offline lebih ngeri pak/bu, tau sendiri anak sekolah kadang susah diatur",1
159,"Di sekolah Bumi udah dibagiin angket, nanyain orangtua siapa yang setuju sekolah mulai tatap muka lagi. Dari 20 murid di satu kelas ada sekitar 4 orang yang setuju.
Sisanya masih takut dan lebih memilih belajar online aja.",1
170,"@mutajir_mohamat @firdzaradiany @kamilmoon @neserike @anonblobfish Maaf klo salah tapi terlalu besar resiko yg dipertaruhkan. Bukan hanya prokes di dalam sekolah tapi juga resiko di penjemput, penjual makanan, petugas security, transportasi online, dll tetap menjadi ancaman nyata. Apalagi jika ada lansia di rumah",1
174,"Anyway kan belum tau juga skenarionya gimana, apakah masing2 daerah atau sekolah bisa punya kebijakan sendiri atau engga. Melindungi keluarga tetep wajib, makanya buat anak sendiri masih prefer 100% online.",1
184,"@staewberii tak teruk sangat but masih tak bole lagi pergi sekolah, so dkat sini mesti sekolah online:)",1
187,"@ruliemaulana Cuma, ya sebagai yg punya opsi lain, saya masih tetap berharap bisa sekolah online. 

Ini pandangan saya. Orang lain berpandangan beda, ya silakan.",1
188,"@BuchoriSutrisno @ruliemaulana Sebetulnya sebagai orang tua yg punya akses lancar utk sekolah online, saya masih nggak setuju sih karena anak kan berpotensi tertular. 

Klo ini statusnya bukan pandemi dan anak2 sudah divaksin sih, saya oke. 

Tapi nuduh nggak teredukasi ya salah juga.",1
195,"tapi pas sekolah online bukan berarti kita tambah jauh dong, justru yang ada malah tambah deket. kita pasti sering-sering call, cerita-cerita banyak, bahkan sampe tau kondisi satu sama lain. dan ada disaat pas aku mulai gombalin dia, panggil sayang terus. alasan nya? becanda",1
208,"@dorencu morning, awali pagimu dengan sekolah online",1
209,"Yang komen, pada nyibir mas menteri, udah pada punya anak?, Untung sekolah anak juga sama, semua keputusan diserahkan ke ortu.
Yes, gw masih nga ngebolehin anak2 sekolah tatap muka..walau anaknya udah bosen dan ribut..gw merasa lebih aman sekolah online. https://t.co/SlFQdu77mp",1
214,"@utbkfess klo wktu sekolah mungkin ikut to dr sekolah aja dah cukup ya..  cuman kalo skrng, dr sekolah ga kasi to, les jg ngga. ya mau ga mau ikut to online",1
245,"@tanyainrl Klo semenjak sekolah online sih ga terlalu, tapi pas masih sekolah offline itu jujur suka jadi kek ngerasa males karena jadwal pasti padet bgt klo Senin.",1
246,"jujur ku lebih suka online krn online tuh punya banya waktu buat search materi dari luar sekolah kaya video materi gtu tapi kgn juga sih suasana ramenya offlen dan pasti di offlen tugas ga sebanyak ini, tapiii saat ini ku masih suka onlen 👍👍👍 https://t.co/BaDuaXCf9B",1
266,"lebih nyaman sekolah online = pemalas , tukang rebahan 🤡
lawak lo badut",1
279,klo gw di suruh milih sekolah offline apa online gw lebih baik milih online karna gw bener² trauma ga punya temen karna fisik gw,1
280,"aku taknak naik sekolah tho, aku dah terbiasa dengan kelas online",1
315,"@brdeunha Taknak sekolah, nak spm online...",1
318,Wkwkwk musowooo 🤣🤣🤣 Untung sekolah online https://t.co/EvZ91LOtZm,1
344,@CNNIndonesia @Kemdikbud_RI Saya rasa jgn dulu deh pak nadiem sekolah online sampai tahun depan baru bisa ini covid itu masih berkeliaran...,1
354,"@mas_astronot waktu itu iya tapi dikasi gform pilih mau sekolah online atau offline, tapi kebanyakan isi sekolah online karena kondisinya ga memungkinkan buat off jadinya sekarang masih online",1
372,"enggak, aku murid baru jd blm punya temen deket 😔 enakan sekolah online gini https://t.co/EOuL2jmqBb",1
400,Tanak sekolah..aku lagi prefer online...tak suka sekolah sebab kene jumpa orang..wait korang tak faham 😭😭😭😭😭,1
406,"Online, tapi karna aku osis jadi sering bgt ke sekolah https://t.co/DEKSW1fDNl",1
425,"@mrshananto Gapapa sih sekolah/kuliah online, tapi tolooong bgt gue sebagai mahasiswa yang butuh fasilitas kampus seperti buku-buku di perpustakaan, wifi, dan ruangan bisa digunakan karena terkadang butuh banget tempat untuk ""belajar"" dgn suasana belajar yang sesungguhnya :,,,)))",1
430,"PADAHAL KALO LAGI SEKOLAH ONLINE, MELEK SAMPE JAM 3 JUGA GAASSS",1
432,@schfess pgn bgt offline krn nnti ak baru masuk sma gaenak mosnya virtual asli🙂trs klo sekolah online biar lebih leluasa aja gtu,1
441,"Entah kenapa dr sblm Pandemi kuat bgt keinginan spy anak Homeschooling.
Walaupun ada yg nyinyirin &amp; ngomongin. 
Untung keukeuh pendirian &amp; anak tetep Homeschooling.
Skrg yg dulu nyinyirin malah yg bingung, anak mau tetep sekolah Online atau masuk kyk biasa.",1
451,makin sini makin gaasik😭 makanya mls kalau harus sekolah offline udah deh online aja tp bodoh juga lama lama online haha https://t.co/5Q38kJlXJa,1
456,"@erwinarnada Aku pilih online, sekarang aja aku dibuat ngap2an krn terpaksa ikut ujian sekolah tatap muka, masih 4 hr lagi 😭",1
462,"@makhlukcakep Tuker sekolah yok, enak online ni",1
470,@saturnhoon_ dh betah sekolah online 🙏,1
473,"@mrshananto Gak ada pilihan remote &amp; hybrid (3 hari ke sekolah,2 hari online) gitu Win?Lgs semua masuk ke sekolah?Bahkan di sini yg hybrid buka tutup,pas ada case + tutup berhari-hari switch to remote,gitu terus apa makin gak tambah stres anak &amp; ortu.Makanya kita udahlah full remote aja",1
481,"@mrshananto Ada juga sekolah,seperti sekolah kami (negeri) yg tetap memfasilitasi bagi siswa yg orang tuanya tidak setuju tatap muka,alias online/pjj",1
489,"kangenn, tapi sebenernya sekolah online enak juga soalnya aku orgnya lebih suka bljr sendiri. tapi suasana sekolah lebih enak https://t.co/2eLxnkTzNF",1
498,"50-50

kangen sekolah offline tapi udah lumayan nyaman sekolah online. https://t.co/WrKHw5oMCF",1
502,"Kek bersyukur bgt walmur dan murid pada nurut online learning dulu aja:"") krn prokes di sekolah pun ketat dan bakal riweuh kalau offline dlm keadaan gini...",1
541,Nggak masalah kalau sekolah online tapi disertai dengan pengawasan yang cukup. Ada kok murid ibu saya yang nggak pernah masuk sekolah online sama sekali sejak bulan januari. Terus anak2 kayak begini harus diurus kayak gimana? https://t.co/MZBICZfIH5,1
559,"@dayatia Usulan bagus, sehingga seminggu cukup 2 hari ke sekolah, mapel selebihnya online,",1
565,"@mrshananto Aku udah ancang2 cari sekolah yg masih memberlakukan sekolah online kalo sekolah yg sekarang kekeuh tatap muka. Males ribut. Tapi kemaren baca berita, Mas Menteri masih mengharuskan sekolah ngasih opsi PJJ kok. Moga2 diwaro.",1
567,tp aku bersyukur sih sekolah online... makanan ku sehat bgt karna ya makannya masakan rumah kan coba kalo sekarang sekolah offline.... BEUH,1
591,"Ya. Memang ada yg kesulitan sekolah online.
Tapi yg gak kesulitan selama sekolah online, apa harus dipaksakan menjerumuskan anak2nya bergabung dg yg bebas keluyuran?

Silakan uji coba dg anak msg2 aja. Gw gak mau anak gw jd kelinci percobaan.",1
618,sebenarnya lebih suka sekolah online tapi guru-gurunya itu lho.. https://t.co/6N4j2B15ck,1
638,"@GhaisanZp @schfess Masih dong, malah makin ambis sih menurutku, siang aku les malemnya bisa lanjut belajar lg karena les doang itu gak cukup buat ngejar semua materi jdnya perlu belajar sendiri lg, kalo ditanya capek engga, paginya aku istirahat jdnya kalo sekolah online aku kyk gak terlalu peduli",1
655,"Gw tim sekolah online sih, soalnya lebih enak belajar lebih rileks ga harus duduk di kursi. Jadi pelajaran lebih enak masuknya.",1
691,@jjhepyr udah nyaman sekolah online 😖,1
714,"@rajinbelajaryey udh nyaman sm online, trs ada sdikit trauma sm sekolah jadi males...",1
716,"@rajinbelajaryey nyaman banget asliii ga pengen sekolah offline sih aku krn perjalanan ke selolah jauh jdi buang buang waktu+tenaga takutnya capek di jalan sksk 

untuk saat ini nyaman bgtt sih sama online huhu",1
752,"Kangen lah, tapi sekarang udh nyaman sekolah online https://t.co/5s9UOI4goZ",1
753,"baru tau ternyata sekolah online ini ga semua sisinya buruk. Temen saya jadi bisa manage waktu anaknya yg masih smp untuk latihan balap lebih maksimal, tidak perlu mengorbankan waktu sekolah. Dan membuahkan hasil. prestasi/kualitas naik, sponsor masuk",1
762,"@PartaiSocmed 2 anak bujangku homeskul. Ortu teman2nya pada heran dan geleng2.

Wkt aku bilang bayarnya cm 4jt setahun dan ttp aja online course. Baru mereka merasa kl gw itu benar.  
Krn sekolah yg lama ya bayaran 4jt itu buat sebulan 😃

Lumayan jadi budget sekolah bs utk nambah toko😃",1
788,"@M97HA0 sekolah, tapi online",1
820,"@ss_kzz Berarti ke sekolah dong ya?😭ya Allah😭
Pliss doa in aku semoga ujian nya tetep online di rumah aja😭🙏",1
840,dah nyaman sekolah online 😌😂,1
860,"sekolah offline gaada olahraga, upacara, ekstrakulikuler, cmn 3.5 jam. sama aja kea online duduk doang beda tempat aja hdh",1
862,"@subtanyarl Pas sekolah offline : anjr, sekolahan gua gini amat dah. Mending online aja dah. (sekolahnya banyak sarang laba laba)",1
877,@xxvminusone korona semoga cpat hlang tp sekolah online terlanjur membuatq nyaman....,1
881,"@jjspotter Katanya gt, udah keenakan sekolah online gw",1
889,"Kalau gw mendingan belajar online di rumah daripada belajar tatap muka di sekolah harus pake masker, belajar pake masker ga nyaman",1
916,akhirnya beli susu murni nasional setelah setahun sekolah online 😁👍,1
927,a @JKXTHVLI msh sekolah online,1
935,Setuju banget dengan ini Sahabat terbaikku justru ketemunya dari pertemanan online dan awet sampe sekarang karena ya interestnya sama Temen2 sekolahku kebanyakan udah lost contact karena udah ga ada alesan buat temenan lagi red Ga 1 sekolah lagi,1
937,Anak SD negeri yang berangkat pulangnya naik angkot bis sekolah gratis could never Dan emang sebaiknya online aja,1
939,Sekolah online seru Gak serunya bb gw naik terus HAHAHAHA,1
943,Msh jg ribut ndakik2 sekolah online vs offline gak yg bela online maupun offline Sederhana aja kok semua ini Dunia nyata jelas jauh lebih baik drpd dunia layar Udh selesai Itu saja Sy lebih memilih pulang sekolah terus main ke sawah drpd kelar kelas online liat instagram,1
947,Kalo mau lebih keren lagi mending dorong aja tuh pemerintah supaya bikin kebijakan di mana tiap sekolah kudu nerapin opsional pembelajaran macam sekolah online atau sekolah tatap muka buat murid2nya Ya mirip2 Univ Terbuka gitu sih cuma konteksnya sekolah,1
955,Perpanjang izin operasional sekolah dokumennya setebel ini Kenapa ya gabisa online aja ya,1
956,gua suka sekolah online gak bangun pagi gak cape cape gua berangkat kalo kek gini gimana gak gila jir,1
969,PGN SEKOLAH ONLINE JHA,1
1024,aku kangen sekolah offline tapi males maunya online,1
1032,Sekolah online resah sekolah dibuka tambah resah,1
1054,pov kamu sudah nyaman sekolah online,1
1055,semoga puasa full sekolah online ya Allah,1
1088,a @02zbiased Aku juga suda sekolah offline tapi karna aku dah nyaman sama online aku jadi nda suka sekolah offline,1
1102,Lebih capek sekolah offline sih tapi kalo sekolah online materi nya gak masuk sksk,1
1108,keanya aku makin rajin sekolah online deh,1
1120,sekolah online kek gini serasa punya private teacher gue,1
1150,mending sekolah online aja kalau kaya gini,1
1187,Andai tau sekolah online selama kelas 12 gak bakal deh beli buku tulis banyak cukup satu atau dua buku tulis doang,1
1190,Sekolah online gabisa keracunan di kantin,1
1214,Sekolah online gak perlu upacara bendera,1
1215,tapi sekolah online ada plusnya juga bisa ngembangin diri cari hobi baru planner tersusun rapi b,1
1224,Di masa pandemi ini hikmahnya semua jadi dimudahkan Daftar sekolah gak perlu berdesakan bisa daftar dari rumah atau dari mana saja Untuk pendaftaran Sekolah Kedinasaan bisa mendaftar secara online melalui,1
1229,Pengen deh sekolah online ku tu pake google classroom aja gausah pake e learning Soalnya ya lebih enak aja di google classroom,1
1249,Sebenernya aku gamau sekolah offline udah nyaman sekolah online tapi kalo sekolah online aku ga ngerti materi sama sekali menurut kalian gimana,1
1259,Guru gak makan gaji buta walaupun lagi sekolah online Gak semuanya ngajar di rumah ada yang masih ke sekolah Gak semua guru punya gadget yang mumpuni untuk KBM online bukan murid doang Jadi jangan cuman bilang guru keenakan makan gaji buta udah tau behind the scenenya blm,1
1276,mending sekolah online,1
1277,Online Samping gw percis nih sekolah offline doank tinggi vaksin gamao ampun dah,1
1282,Enak sih sekolah online tapi gw gabisa belajar kalo online jadi tambah bego,1
1291,dicoret2 doang jaman skrg juga dah canggih knp kok revisinya kaga lewat lgsg di laptop tanpa perlu di print guru2 knp si masi pake cara kuno aja padahal udah satu tahun sekolah online loh,1
1294,Sekolah harusnya bisa online aja seterusnya gak ush tatap muka habisin energi waktu uang keringet trus risiko kecelakaan di jalan dan toilet super busuk plus temen Temen di sekolah tuh gah penting makin banyak temen makin banyak masalah,1
1298,kalo masalah nyaman sih aku milih online tapi kalo sekolah offlinekan lebih menantang ga belajar materi doang tapi softskill jugaa udah lama bgt ga ngerasain dag dig dug karena presentasi di dpn kelas,1
1300,pengennya sih sekolah online aja sebab aman dr virus tapi kok motorik anak jd kurang sedangkan mama e iki sibuk golek duwit ngumpuli bayar tagihan dll trs kudu piyeeeee,1
1307,sekolah online bikin aku punya banyak hobby baru karena banyak waktu luang,1
1309,sekolah online enak cm 4 jam jd byk waktu buat ngerjain hobi lain nilai di sklh jg bagus bisa kerjasama,1
1315,sekolah online enak,1
1316,sekolah online seru jadi gak ketemu temen temen toxic dan gak harus buang waktu buat denger penjelasan guru yg sama sekali gak masuk otak,1
1317,sekolah online makin byk aja duit gw,1
1323,sekolah online enak sekolah online gak capek lebih capek sekolah offline yang bisa 5 6 jam belum eskul organisasi asal lingkungan rumah mendukung sih,1
1324,sekolah online jadi pny banyak waktu luang,1
1325,sekolah online asik kalau ngerti,1
1326,sekolah online bikin w rajin,1
1327,sekolah online asik soalnya kebanyakan guru cuma makan gaji buta dan gue cuma dituntut buat dapat nilai gede jujur ga jujur bodo amat hidup lebih simple dengan motto seperti itu dan aku kita kalian lebih suka hidup simple Kan,1
1328,sekolah gue online kk ji jadi ga disita,1
1334,sekolah online ga buat capek soalnya klo offline bisa belajar sampe jam 4 5,1
1337,Sekolah online bikin aku dari pemales jadi rajin belajar,1
1338,sekolah online gak bikin bego kitanya aja yg males krn sekolahnya di kasur termasuk aku,1
1339,sekolah online bikin makin suka sama matematika,1
1345,ga usah sekolah offline enakan online,1
1354,Bentuk kepedulian Kodim 1426 Takalar terhadap siswa sekolah untuk belajar Daring Koramil jajaran Kodim 1426 Takalar terus galakkan belajar Online di Kantor Koramil dengan menyiapkan Wi Fi gratis dipantau oleh Piket Koramil,1
1363,Hai dek Udah online aja dah,1
1366,sekolah online,1
1370,kenapa harus takut dgn sekolah online takutlah pada kehidupan yg bisa direnggut oleh pandemi,1
1375,Nungguin masnya jawab anaknya umur berapa Pengen tanya cara supaya anaknya bisa enjoy sekolah online,1
1392,a @yockospryn sekolah online gabisa razia gondol,1
1397,sekolah online gabisa tawuran smk 6,1
1407,Offline sebelum berangkat sekolah Online 5 menit sebelum kelas,1
1408,Pagi bestie Semangat sekolah online,1
1412,SELAMAT PAGII SEMUANYAAA SEMANGAT SEKOLAH ONLINE NYAA YAAA JANGAN LUPA SARAPAN JUGAA,1
1414,dulu pas sekolah offline ngga pernah sarapan dann sekarang pas online sarapan terus ahahah,1
1420,Ga salah sih sekolah online,1
1421,Perkara sekolah tatap muka atau online ini kan perkara kesehatan Bukan perkara kualitas pendidikan,1
1423,Sekolah ak niat ga si offline nya Offline sehari trus online offline seminggu online lagi ap mksud,1
1427,Smoga niat baiknya membuka sekolah online gratis utk jadi teknisi otomotif segera terlaksana ya pak Dokter Harley Asal Indonesia di AS Dulu Diremehkan Kini Jadi Master,1
1431,lo ngedrop vsat buat belajar jarak jauh itu jauh lebih murah dan udah mulai dipakai buat menjangkau daerah terisolir itu salah satu solusi dan sejujurnya pihak yang kontra sekolah online ini justru menafikan potensi PJJ dan itu stupid,1
1434,a @ADjem Sekolah offline aja anak2 banyak yang attitudenya jelek mending sekolah online,1
1437,setahun sekolah online GUE LUPA GIMANA RASANYA NGERJAIN PR MALEM MALEM SEBELUM TIDUR,1
1438,Pandemi menyebabkan peningkatan pada penggunaan toko online ojek online sekolah online,1
1446,Aku awalnya benci sekolah online karena merampas waktu kerja bahkan rehatku. Tapi setelah menjalaninya aku jadi tau kalo anak sering stres dgn pelajaran melimpahkan tanggung jawab ortu sbgai pereda stres pada guru itu tindakan pengecut sih Dikira guru2 itu kuat hadepin puluhan siswa,1
1453,Sejujurnya selama sekolah online otak gua jadi susah fokus Gampang ketrigger kalau lagi nugas dan susah fokus kalau diajak ngomong sama guru tiap lagi ngobrol sama org pasti pikiran gua kemana mana,1
1462, Jadi mau sekolah online pak,1
1465,lebih suka sekolah online aja sih,1
1467,aku baca threadnya ngelihat orang2 sekolah online bisa memanfaatkan ini untuk berkembang ,1
1469,kalo online enggak pernah tp kalo sekolah offline pernah kyk ngeluh ngeluh sakit gamau bangun trs bolos sekolah,1
1476,Pas sekolah offline aku sering pake di kelas tapi selama online ga pernah pake lagi,1
1477,sebenarnya ga salah juga klo mau dibuat pendidikan online,1
1483,ak udh nyaman sekolah online trs disuruh offline rasanya malas sekali,1
1485,kalo sekolah online gini bisa kok temen temenku banyak yang kerja termasuk aku,1
1486,Iya sih semua pilihan pst ada alasannya Kalo aku prefer online krn anak bisa tetap sekolah dr mana pun Termasuk misalnya sambil camping dgn teman pecinta alam misalnya asal koneksi internet memadai Agak lebay ya contohnya Atau sambil ngegambar di tamsur deh,1
1494,Anak sekolah online gabisa tawuranya jd lebih bagus gitu,1
1502,okey besok sekolah online lagi semoga si pemerintah ga php lagi mau sekolah tatap muka nanti ya,1
1505,Bahas pro kontra sekolah online offline kalo aku sih pro sekolah online,1
1508,Kayaknya kec krn pandemi justru sekolah online membuat anak bisa tetap bersekolah dr mana saja bukan Ga cuma di rumah bersama ortu kecuali yg msh sd Bisa saja di rumah teman yg punya minat hobby yg sama atau di tempat lain yg menunjang hobby mereka,1
1511,sekolah online tapi tetap bayar penuh iuran sekolah itu niatkan saja untuk membantu agar tidak terjadi PHK tenaga pendidik,1
1515,dah capek ngurus manusia makanya sekolah online aja,1
1516,sekolah online dari gasuka jadi suka wkwkwk,1
1522,sekolah online gabisa kesurupan masal,1
1524,Sekolah udh offline Aku masih mau sekolah online,1
1525,Wajar lah kau bilang suka pendidikan online macem sekarang Di umur sekarang kau sudah bisa mandiri Kau itu bukan anak kecil,1
1536,Pendidikan online pemerintah tolong buat tower dan berikan fasilitas penunjang agar sinyal bisa sampai ke pedalaman,1
1538,Menyadari kalo besok sekolah online lagi gak offline yeayyyy,1
1544,Sekolah tapi online aja,1
